,Stock 1,Stock 2,Coint Score,Return (%),Sharpe,Win Rate (%),Trades,Max DD (%)
0,KEY,RF,100,-0.24189341333370248,0.03894576815082356,38.46153846153847,13,-3.965867710072516
2,ASB,WTFC,97.77777777777777,-0.0483842785066663,-0.006616874244139231,33.33333333333333,3,-1.5603087073026778
1,HBAN,EWBC,97.77777777777777,-0.7435719490828633,-1.0764127316918357,33.33333333333333,3,-1.4528235670261103
3,HBAN,WTFC,95.55555555555556,-0.4738019494976906,0,0,1,-1.5498089993417228
4,EWBC,ASB,93.33333333333333,-87.90074461634583,0.5601960552399714,54.166666666666664,48,-5.971312646868889
5,HWC,SYF,91.11111111111111,-1.4107590959427325,-0.08168395339111574,46.666666666666664,30,-8.208312447913032
6,TFC,SBCF,88.33333333333333,-2.4051265094413683,0,0,1,-2.6722948287531247
7,EWBC,WTFC,86.66666666666667,-0.4754466467613092,0,0,1,-0.698611139365466
8,JPM,COF,83.88888888888889,-0.36771354266954587,-0.3053858768665032,50,2,-3.811727134029482
9,CMA,VLY,83.33333333333333,-83.12877584729004,0.8683168419614038,60.46511627906976,43,-4.526209923995688
10,HBAN,ASB,83.33333333333333,-0.22564387674884348,0.007848534591855085,60,10,-5.807055656337332
12,RF,SBCF,81.66666666666667,10.370838479791521,0.5608513272121608,57.14285714285714,42,-4.267050210339957
11,KEY,SBCF,81.66666666666667,0,0,0,0,0
14,USB,KEY,81.11111111111111,-0.022779874736137573,0.0746666610793105,50,10,-2.2476661705085252
13,WBS,ASB,81.11111111111111,-2.6343128825403404,-1.4117097953329318,50,2,-3.936064673624456
15,BAC,MS,78.88888888888889,-83.15676149194766,0.8366791689033958,60.526315789473685,38,-7.715562326537433
16,SYF,WTFC,78.88888888888889,-2.656523054399964,0,0,1,-3.075897883632611
17,WFC,FHN,76.66666666666667,28.00976217408797,0.9207087547151273,61.111111111111114,54,-3.4873387006841763
