Rank,Stock 1,Stock 2,Coint Score,Grade,Return (%),Sharpe,Max DD (%),Win Rate (%),Trades,Avg Trade (%)
26,DE,MRK,81.11111111111111,A级 (优秀),23.44882053173115,1.6794769140700962,-1.9287845364601097,75.0,8,3.0593783603538114
27,ICE,MELI,78.88888888888889,B级 (良好),23.44331780606843,21.516996476110865,-4.412136605784762,100.0,4,5.985931325358592
28,CTRA,SJM,81.66666666666667,A级 (优秀),23.173521856233233,1.6550445659416593,-5.912650025361874,77.77777777777779,9,2.7082181209064062
29,EG,UBER,88.88888888888889,A级 (优秀),22.84360681341251,2.241785251521275,-5.089252486580028,88.88888888888889,9,2.6643491265946184
30,COP,VZ,76.66666666666667,B级 (良好),22.706597390325303,2.8983705245918236,-3.0715001220746974,91.66666666666666,12,2.026257226386938
31,MET,PEG,81.66666666666667,A级 (优秀),22.64009295812875,3.683883320141357,-3.542207253298166,91.66666666666666,12,2.0206338513721342
32,EG,ELV,100.0,S级 (完美),21.89235433366352,3.3698329970054903,-4.146710841839042,91.66666666666666,12,1.9528923696908551
33,ALL,TGT,78.88888888888889,B级 (良好),21.652375464694092,1.4178356751303043,-5.4189868397265775,68.75,16,1.4781129769502108
34,EG,FER,95.55555555555556,S级 (完美),20.985604137969162,0.8817229293745523,-11.698281768682198,79.16666666666666,24,1.0135310548126812
35,EG,MELI,93.33333333333333,S级 (完美),20.648070436900262,2.509470641183468,-7.421831781684827,72.72727272727273,11,2.003044469474699
36,EG,HCA,88.33333333333333,A级 (优秀),20.623191919105725,1.0080875934146316,-9.591996511249128,78.57142857142857,14,1.6045730323209872
37,EOG,MAS,73.33333333333333,B级 (良好),20.456833411157234,2.00262588131342,-2.892114048629739,80.0,10,2.179315994817801
38,CSCO,RL,86.11111111111111,A级 (优秀),19.927908190960384,1.6301166342311644,-10.755317151677309,69.23076923076923,13,1.6667145139695063
39,EG,VLTO,71.11111111111111,B级 (良好),19.8063614426556,2.9954814640154734,-3.1878603216852293,84.61538461538461,13,1.6521652859649443
40,HSIC,SO,78.88888888888889,B级 (良好),19.294738232250005,1.3465804849266978,-5.693155357895764,62.5,8,2.538989242411886
41,EG,GRMN,95.55555555555556,S级 (完美),19.189430106243496,1.5964057199229078,-5.207801905785659,72.72727272727273,11,1.8682404871779115
42,DVA,LII,76.66666666666667,B级 (良好),19.180532139361066,1.3193106095337153,-5.609689690521564,77.77777777777779,18,1.1887800723884807
43,CPRT,KLAC,78.88888888888889,B级 (良好),19.100718299138375,1.6656157490524268,-10.372893492722827,66.66666666666666,6,3.300537310642999
44,EG,MS,100.0,S级 (完美),19.01750905472305,1.5523599414738454,-7.601396023671099,76.92307692307693,13,1.5898287685843566
45,ASML,KVUE,86.66666666666667,A级 (优秀),18.748182301867082,0.6652836164211802,-10.999977082586307,57.14285714285714,14,1.4679061046883726
46,EG,WAT,71.11111111111111,B级 (良好),18.562000564363537,1.293678114405122,-5.052944580943118,81.25,16,1.2867448649328912
47,MET,RMD,78.88888888888889,B级 (良好),18.472710548391728,1.4700555723034117,-5.11218534207782,71.42857142857143,14,1.4518016213214235
48,HSIC,INVH,81.11111111111111,A级 (优秀),18.45606416488622,2.5921602878659646,-2.922018298512513,87.5,8,2.4428565720183144
49,ACGL,TSN,76.66666666666667,B级 (良好),17.953370092395822,2.4053636893714083,-5.130710358235858,92.3076923076923,13,1.5178819094978075
50,EG,TECH,95.55555555555556,S级 (完美),17.660109882558448,1.3463458715631818,-7.127209464233411,84.61538461538461,13,1.48638257512721
51,ALL,MELI,76.66666666666667,B级 (良好),17.64777337478097,1.5933691268418089,-4.344292475073391,66.66666666666666,6,3.065408409894832
52,AOS,EQT,81.66666666666667,A级 (优秀),17.519731721597985,2.785589586712529,-3.7238565157641434,80.0,5,3.6367949415919383
53,EG,UAL,93.33333333333333,S级 (完美),17.32445302025725,1.744254975669645,-4.679401257853833,77.77777777777779,9,2.047062534604114
54,EG,TMUS,90.55555555555556,S级 (完美),17.261114912844715,2.7770403589468513,-3.1456157233094197,88.88888888888889,9,2.046471289920991
55,EG,EXC,97.77777777777777,S级 (完美),17.21714678405892,2.260620879892472,-2.885255375930292,80.0,10,1.8533362436474552
56,EG,KHC,100.0,S级 (完美),17.141362200566437,1.7057212922220206,-3.423702668493485,80.0,10,1.8481417281635764
57,EG,O,76.66666666666667,B级 (良好),17.10328246296862,1.3642487086970974,-4.424430786644094,66.66666666666666,9,2.021376961392382
58,EG,SPG,88.88888888888889,A级 (优秀),17.049812427404365,1.2403659892730605,-3.699933620453187,66.66666666666666,12,1.5490273057311912
59,CTVA,NFLX,76.66666666666667,B级 (良好),16.949343170755558,1.3243113743632868,-6.1037957856159535,55.55555555555556,9,2.0197953770542725
60,EG,UNH,97.77777777777777,S级 (完美),16.203662603961085,1.2006799133497248,-7.908331160781891,76.92307692307693,13,1.3718572695829385
61,EG,NEM,91.11111111111111,S级 (完美),16.050900005150574,1.673465603914041,-6.110154438959171,75.0,12,1.464670503596489
62,KMI,MGM,76.66666666666667,B级 (良好),16.049872343950074,3.7980587291049157,-2.784902220551194,75.0,4,4.1599942741159825
63,KLAC,STX,86.66666666666667,A级 (优秀),15.498146745355509,0.9917880707016061,-8.40383046435112,70.58823529411765,17,1.0351900101605545
64,CTRA,EFX,88.33333333333333,A级 (优秀),15.44242771318309,1.004608041997477,-6.889851989224878,42.857142857142854,7,2.3378688808034425
65,EG,LW,88.33333333333333,A级 (优秀),15.361224402278967,1.5553039355949578,-4.325784335685466,76.92307692307693,13,1.3062989253388069
66,HSIC,SJM,81.11111111111111,A级 (优秀),15.305679734822073,1.7089457010995128,-3.865259893099849,75.0,8,2.040827746574933
67,HSIC,META,76.66666666666667,B级 (良好),15.282375260976725,1.7573845013708924,-14.668126717316559,77.77777777777779,9,1.8225228415039432
68,GPC,SMCI,83.88888888888889,A级 (优秀),15.253678039842649,0.6247619774213256,-8.327327729190044,58.333333333333336,12,1.4053238675435316
69,EG,NOW,76.66666666666667,B级 (良好),15.172098617202936,2.3750000545132246,-4.2092534758155375,77.77777777777779,9,1.8120422558964302
70,COP,PEP,83.33333333333333,A级 (优秀),15.113276449362194,3.9216526706606754,-2.5279755578229217,100.0,7,2.2874844101364364
71,ALL,PODD,93.33333333333333,S级 (完美),15.070563369222159,2.538857024551952,-5.891899431069228,71.42857142857143,7,2.2829329241415315
72,SYY,URI,93.33333333333333,S级 (完美),14.962408884938705,3.010795708205651,-12.03313072680565,85.71428571428571,7,2.2578058389654347
73,ACGL,EXR,88.33333333333333,A级 (优秀),14.936581913769272,2.417603958639178,-5.136425738893084,90.9090909090909,11,1.4844943287973131
74,AKAM,VZ,81.11111111111111,A级 (优秀),14.919229910344308,1.241586242238047,-7.691868853772932,66.66666666666666,6,2.615020338177724
75,D,PANW,76.66666666666667,B级 (良好),14.858168945653569,1.6099467816681432,-8.134897136216836,80.0,10,1.613996283950722
76,EG,F,81.11111111111111,A级 (优秀),14.843525419255224,1.8908319675589573,-6.685891962450754,75.0,12,1.365611079870008
77,EG,SO,83.88888888888889,A级 (优秀),14.78389773257848,1.5852786559069603,-3.326286238728253,69.23076923076923,13,1.2638748501926682
78,GPC,PSX,91.11111111111111,S级 (完美),14.756898651059384,0.7848534369896116,-6.463665139916524,72.72727272727273,11,1.4778460762655996
79,MSCI,SMCI,90.55555555555556,S级 (完美),14.665328680603182,1.7254541946507922,-5.3064976999385935,73.33333333333333,15,1.0984702409872018
80,DE,V,100.0,S级 (完美),14.372281207026404,1.314747075411566,-6.1166932007539305,71.42857142857143,14,1.1492884534047523
81,EQR,EW,92.77777777777777,S级 (完美),14.370632914220508,1.6600664037361408,-2.426871308015573,60.0,5,3.0061282200166617
82,ADM,TXT,76.66666666666667,B级 (良好),14.023773399668615,2.2124970512401076,-4.705597312274257,73.68421052631578,19,0.8695945358792568
