symbol
ASML Holding
Adobe Inc.
Advanced Micro Devices
Airbnb
Alnylam Pharmaceuticals
Alphabet Inc. (Class A)
Alphabet Inc. (Class C)
Amazon
American Electric Power
Amgen
Analog Devices
AppLovin
Apple Inc.
Applied Materials
Arm Holdings
AstraZeneca
Atlassian
Autodesk
Automatic Data Processing
Axon Enterprise
Baker Hughes
Booking Holdings
Broadcom
CSX Corporation
Cadence Design Systems
Charter Communications
Cintas
Cisco
CoStar Group
Coca-Cola Europacific Partners
Cognizant
Comcast
Constellation Energy
Copart
Costco
CrowdStrike
Datadog
DexCom
Diamondback Energy
DoorDash
Electronic Arts
Exelon
Fastenal
Ferrovial
Fortinet
GE HealthCare
Gilead Sciences
Honeywell
Idexx Laboratories
Insmed Incorporated
Intel
Intuit
Intuitive Surgical
KLA Corporation
Keurig Dr Pepper
Kraft Heinz
Lam Research
Linde plc
Marriott International
Marvell Technology
Mercado Libre
Meta Platforms
MicroStrategy
Microchip Technology
Micron Technology
Microsoft
Mondelez International
Monolithic Power Systems
Monster Beverage
NXP Semiconductors
"Netflix, Inc."
Nvidia
O'Reilly Automotive
Old Dominion Freight Line
PDD Holdings
Paccar
Palantir Technologies
Palo Alto Networks
PayPal
Paychex
PepsiCo
Qualcomm
Regeneron Pharmaceuticals
Roper Technologies
Ross Stores
Seagate Technology
Shopify
Starbucks
Synopsys
T-Mobile US
Take-Two Interactive
"Tesla, Inc."
Texas Instruments
Thomson Reuters
Verisk Analytics
Vertex Pharmaceuticals
Warner Bros. Discovery
Western Digital
"Workday, Inc."
Xcel Energy
Zscaler
