,Stock 1,Stock 2,Coint Score,Return (%),Sharpe,Win Rate (%),Trades,Max DD (%)
0,KEY,RF,100,6.770883523396012,0.6915796588991259,55.55555555555556,54,-6.903262958188796
2,ASB,WTFC,97.77777777777777,14.06539895798084,0.666441087199594,49.152542372881356,59,-10.367242003219687
1,HBAN,EWBC,97.77777777777777,4.35486886468339,0.5533194493858679,55.35714285714286,56,-12.162615975745537
3,HBAN,WTFC,95.55555555555556,8.422727601473715,0.5180485859521367,55.81395348837209,43,-9.622915087992391
4,EWBC,ASB,93.33333333333333,14.271798666776316,0.5738507787975445,54.166666666666664,48,-11.751584650355353
5,HWC,SYF,91.11111111111111,-15.981993168060946,-0.07701565936849808,50.943396226415096,53,-32.77493207612976
6,TFC,SBCF,88.33333333333333,14.997212047191717,0.5488550359651208,54.71698113207547,53,-12.925341170165122
7,EWBC,WTFC,86.66666666666667,18.89000501642948,1.1100437856132213,64.28571428571429,42,-5.950992562563251
8,JPM,COF,83.88888888888889,1.6368474169206018,0.2577285460669779,60,40,-10.993678909623313
9,HBAN,ASB,83.33333333333333,26.947448879819667,1.111139668309655,73.52941176470588,34,-9.834919945129366
10,CMA,VLY,83.33333333333333,31.80557274347049,0.9264286588438287,60.46511627906976,43,-8.328921947825659
12,RF,SBCF,81.66666666666667,14.252230193701223,0.6022837365683446,57.14285714285714,42,-8.511201604450731
11,KEY,SBCF,81.66666666666667,-8.558128161684813,0.004522898123245951,51.21951219512195,41,-16.276311012724463
13,USB,KEY,81.11111111111111,24.360195548999368,0.8110740314233249,60.46511627906976,43,-13.672270763759728
14,WBS,ASB,81.11111111111111,-21.724639672750286,-0.2236776839040121,48.214285714285715,56,-25.40212111809553
15,BAC,MS,78.88888888888889,32.24498320995644,0.9843431739739215,60.526315789473685,38,-13.241406717713437
16,SYF,WTFC,78.88888888888889,-12.712834800361117,-0.030333132087219255,43.47826086956522,46,-15.607593035581434
17,WFC,FHN,76.66666666666667,59.42157695164651,0.9121179975982402,61.111111111111114,54,-6.849239745907034
18,BAC,AXP,68.88888888888889,18.615565339134292,0.6479460437790381,51.11111111111111,45,-9.052068133142106
19,COF,NTRS,68.33333333333333,13.68779268991128,0.5090732434856724,63.63636363636363,44,-15.639132312649634
21,BAC,ASB,66.66666666666666,96.39871288027055,1.4163992859772006,63.829787234042556,47,-7.311539126285288
20,HWC,AXP,66.66666666666666,30.225155112327744,1.0113578521300959,68.42105263157895,38,-7.791785071488008
22,WFC,COF,63.888888888888886,6.4468609932745595,0.3698003990543035,53.48837209302325,43,-14.616498090140079
23,HWC,STT,63.33333333333333,12.533832868388606,0.573000797382586,51.06382978723404,47,-12.056046462749293
